Site,Time ,Method,Treatment,Replicate,Area,Species,Trophic group,attack_number,attack_hour,attack_total_time,total_video_min
North Palfrey ,1,Dome,Fish,1,Lizard Island,Carcharhinus melanopterus,Piscivore,35,20.2957379,3.49,103.47
North Palfrey ,1,Dome,Fish,2,Lizard Island,Carcharhinus melanopterus,Piscivore,1,0.628009211,0.07,95.54
North Palfrey ,1,Dome,Fish,3,Lizard Island,Plectropomus leopardus,Piscivore,1,0.60398631,0.02,99.34
North Palfrey ,1,Dome,Fish,3,Lizard Island,Carcharhinus melanopterus,Piscivore,1,0.60398631,0.5,99.34
North Palfrey ,1,Dome,Fish,3,Lizard Island,Carcharhinus melanopterus,Piscivore,1,0.60398631,0.1,99.34
North Palfrey ,1,Dome,Fish,3,Lizard Island,Carcharhinus melanopterus,Piscivore,1,0.60398631,0.06,99.34
North Palfrey ,2,Dome,Fish,1,Lizard Island,Carcharhinus melanopterus,Piscivore,1,2.358490566,0.1,25.44
North Palfrey ,2,Dome,Fish,2,Lizard Island,Lutjanus carponotatus,Piscivore,0,0,0,44.25
North Palfrey ,2,Dome,Fish,3,Lizard Island,Canthigaster sp,Invertivore,0,0,0,54.65
North Palfrey ,1,Dome,No_fish,1,Lizard Island,Canthigaster sp,Invertivore,0,0,0,
North Palfrey ,1,Dome,No_fish,2,Lizard Island,Canthigaster sp,Invertivore,0,0,0,
North Palfrey ,1,Dome,No_fish,3,Lizard Island,Canthigaster sp,Invertivore,0,0,0,
North Palfrey ,2,Dome,No_fish,1,Lizard Island,Canthigaster sp,Invertivore,0,0,0,
North Palfrey ,2,Dome,No_fish,2,Lizard Island,Canthigaster sp,Invertivore,0,0,0,
North Palfrey ,2,Dome,No_fish,3,Lizard Island,Arothron nigropunctatus,Invertivore,0,0,0,
Blue lagoon,1,Dome,Fish,1,Lizard Island,Triaenodon obesus,Piscivore,0,0,0,83.86
Blue lagoon,1,Dome,Fish,2,Lizard Island,Triaenodon obesus,Piscivore,20,14.32493733,4.47,83.77
Blue lagoon,1,Dome,Fish,2,Lizard Island,Caranx sexfasciatus,Piscivore,1,0.716246866,0.08,83.77
Blue lagoon,1,Dome,Fish,3,Lizard Island,Cheilinus fasciatus,Invertivore,0,0,0,83.83
Blue lagoon,2,Dome,Fish,1,Lizard Island,Carangoides fulvoguttatus,Piscivore,2,1.989719781,0.15,60.31
Blue lagoon,2,Dome,Fish,1,Lizard Island,Carangoides fulvoguttatus,Piscivore,2,1.989719781,0.15,60.31
Blue lagoon,2,Dome,Fish,2,Lizard Island,Pomacentrus chrysurus,Herbivore,1,0.628864899,0.05,95.41
Blue lagoon,2,Dome,Fish,2,Lizard Island,Pomacentrus chrysurus,Herbivore,1,0.628864899,0.05,95.41
Blue lagoon,2,Dome,Fish,2,Lizard Island,Pomacentrus chrysurus,Herbivore,1,0.628864899,0.05,95.41
Blue lagoon,2,Dome,Fish,3,Lizard Island,Platax orbicularis,Piscivore,0,0,0,67.39
Blue lagoon,1,Dome,No_fish,1,Lizard Island,Platax orbicularis,Piscivore,0,0,0,
Blue lagoon,1,Dome,No_fish,2,Lizard Island,Platax orbicularis,Piscivore,0,0,0,
Blue lagoon,1,Dome,No_fish,3,Lizard Island,Platax orbicularis,Piscivore,0,0,0,
Blue lagoon,2,Dome,No_fish,1,Lizard Island,Platax orbicularis,Piscivore,0,0,0,
Blue lagoon,2,Dome,No_fish,2,Lizard Island,Platax orbicularis,Piscivore,0,0,0,
Blue lagoon,2,Dome,No_fish,3,Lizard Island,Platax orbicularis,Piscivore,0,0,0,
Malabar 1 ,1,Dome,Fish,1,Sydney,Platax orbicularis,Piscivore,0,0,0,81.15
Malabar 1 ,1,Dome,Fish,2,Sydney,Platax orbicularis,Piscivore,0,0,0,71.21
Malabar 1 ,1,Dome,Fish,3,Sydney,Nelusetta ayraud,Omnivore,0,0,0,62.49
Malabar 1 ,2,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,108.9
Malabar 1 ,2,Dome,Fish,2,Sydney,Nelusetta ayraud,Omnivore,0,0,0,96.26
Malabar 1 ,2,Dome,Fish,3,Sydney,Nelusetta ayraud,Omnivore,1,0.633847454,0.1,94.66
Malabar 1 ,1,Dome,No_fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,
Malabar 1 ,1,Dome,No_fish,2,Sydney,Nelusetta ayraud,Omnivore,0,0,0,
Malabar 1 ,1,Dome,No_fish,3,Sydney,Nelusetta ayraud,Omnivore,0,0,0,
Malabar 1 ,2,Dome,No_fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,
Malabar 1 ,2,Dome,No_fish,2,Sydney,Nelusetta ayraud,Omnivore,0,0,0,
Malabar 1 ,2,Dome,No_fish,3,Sydney,Nelusetta ayraud,Omnivore,0,0,0,
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,1,0.810591732,0.2,74.02
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,2,1.621183464,0.1,74.02
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,2,1.621183464,0.2,74.02
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,1,0.810591732,0.25,74.02
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,1,0.810591732,0.1,74.02
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,1,0.810591732,0.1,74.02
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,3,2.431775196,0.4,74.02
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,2,1.621183464,0.4,74.02
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,1,0.810591732,0.1,74.02
Malabar 2,1,Dome,Fish,1,Sydney,Hypoplectrodes nigroruber,Piscivore,1,0.810591732,0.4,74.02
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,1,0.810591732,0.15,74.02
Malabar 2,1,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,1,0.810591732,0.1,74.02
Malabar 2,1,Dome,Fish,2,Sydney,Nelusetta ayraud,Omnivore,2,1.618122977,0.29,74.16
Malabar 2,2,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,1,1.422475107,0.1,42.18
Malabar 2,2,Dome,Fish,1,Sydney,Nelusetta ayraud,Omnivore,1,1.422475107,0.1,42.18
Malabar 2,2,Dome,Fish,2,Sydney,Nelusetta ayraud,Omnivore,0,0,0,44.28
Malabar 2,1,Dome,No_fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,
Malabar 2,1,Dome,No_fish,2,Sydney,Nelusetta ayraud,Omnivore,0,0,0,
Malabar 2,1,Dome,No_fish,3,Sydney,Nelusetta ayraud,Omnivore,0,0,0,
Malabar 2,2,Dome,No_fish,1,Sydney,Nelusetta ayraud,Omnivore,0,0,0,
Malabar 2,2,Dome,No_fish,2,Sydney,Nelusetta ayraud,Omnivore,0,0,0,
Malabar 2,2,Dome,No_fish,3,Sydney,Nelusetta ayraud,Omnivore,0,0,0,
Malabar 3,1,Squidpop,Fish,1,Malabar,Atypichthys strigatus,Planktivore,1,1,1,60
Malabar 3,1,Squidpop,Fish,1,Malabar,Atypichthys strigatus,Planktivore,1,1,1,60
Malabar 3,1,Squidpop,Fish,1,Malabar,Atypichthys strigatus,Planktivore,1,1,1,60
Malabar 3,1,Squidpop,Fish,1,Malabar,Atypichthys strigatus,Planktivore,1,1,1,60
Malabar 3,1,Squidpop,Fish,2,Malabar,Atypichthys strigatus,Planktivore,1,1,1,60
Malabar 3,1,Squidpop,Fish,2,Malabar,Atypichthys strigatus,Planktivore,1,1,1,60
Malabar 3,1,Squidpop,Fish,2,Malabar,Atypichthys strigatus,Planktivore,1,1,1,60
Malabar 3,1,Squidpop,Fish,2,Malabar,Atypichthys strigatus,Planktivore,1,1,1,60
Malabar 3,1,Squidpop,Fish,2,Malabar,Atypichthys strigatus,Planktivore,1,1,1,60
Malabar 3,1,Squidpop,Fish,2,Malabar,Atypichthys strigatus,Planktivore,1,1,1,60
Malabar 3,1,Squidpop,Fish,2,Malabar,Atypichthys strigatus,Planktivore,1,1,1,60
Malabar 3,1,Squidpop,Fish,2,Malabar,Atypichthys strigatus,Planktivore,1,1,1,60
Malabar 3,1,Squidpop,Fish,2,Malabar,Atypichthys strigatus,Planktivore,1,1,1,60
Malabar 3,1,Squidpop,Fish,2,Malabar,Atypichthys strigatus,Planktivore,1,1,1,60
Malabar 3,1,Squidpop,Fish,2,Malabar,Atypichthys strigatus,Planktivore,1,1,1,60
Malabar 3,1,Squidpop,Fish,2,Malabar,Atypichthys strigatus,Planktivore,1,1,1,60
Malabar 3,1,Squidpop,Fish,2,Malabar,Atypichthys strigatus,Planktivore,1,1,1,60
Malabar 3,1,Squidpop,Fish,2,Malabar,Atypichthys strigatus,Planktivore,1,1,1,60
Malabar 3,1,Squidpop,Fish,2,Malabar,Atypichthys strigatus,Planktivore,1,1,1,60
Malabar 3,2,Squidpop,Fish,1,Malabar,Atypichthys strigatus,Planktivore,1,1,1,60
