Site,Time ,Method,Treatment,Replicate,Area,Species,Trophic group,attack_number,attack_hour,attack_total_time,inspecting_number,inspecting_hour,inspecting_total_time,total_video_min
North Palfrey ,1,Dome,Fish,1,Lizard Island,Lutjanus russellii,Piscivore,0,0,0,1,0.579878226,0.23,103.47
North Palfrey ,1,Dome,Fish,1,Lizard Island,Carcharhinus melanopterus,Piscivore,35,20.2957379,3.49,3,1.739634677,0.11,103.47
North Palfrey ,1,Dome,Fish,1,Lizard Island,Plectropomus leopardus,Piscivore,0,0,0,1,0.579878226,0.23,103.47
North Palfrey ,1,Dome,Fish,1,Lizard Island,Plectropomus leopardus,Piscivore,0,0,0,1,0.579878226,0.1,103.47
North Palfrey ,1,Dome,Fish,1,Lizard Island,Plectropomus leopardus,Piscivore,0,0,0,1,0.579878226,0.2,103.47
North Palfrey ,1,Dome,Fish,2,Lizard Island,Cephalopholis cyanostigma,Piscivore,0,0,0,1,0.628009211,0.27,95.54
North Palfrey ,1,Dome,Fish,2,Lizard Island,Carcharhinus melanopterus,Piscivore,1,0.628009211,0.07,0,0,0,95.54
North Palfrey ,1,Dome,Fish,3,Lizard Island,Siganus doliatus,Herbivore,0,0,0,1,0.60398631,0.2,99.34
North Palfrey ,1,Dome,Fish,3,Lizard Island,Siganus doliatus,Herbivore,0,0,0,1,0.60398631,0.2,99.34
North Palfrey ,1,Dome,Fish,3,Lizard Island,Pomacanthus sexstriatus,Invertivore,0,0,0,1,0.60398631,0.2,99.34
North Palfrey ,1,Dome,Fish,3,Lizard Island,Epinephelus maculatus,Piscivore,0,0,0,1,0.60398631,0.18,99.34
North Palfrey ,1,Dome,Fish,3,Lizard Island,Plectropomus leopardus,Piscivore,1,0.60398631,0.02,0,0,0,99.34
North Palfrey ,1,Dome,Fish,3,Lizard Island,Carcharhinus melanopterus,Piscivore,0,0,0,1,0.60398631,0.07,99.34
North Palfrey ,1,Dome,Fish,3,Lizard Island,Carcharhinus melanopterus,Piscivore,1,0.60398631,0.5,0,0,0,99.34
North Palfrey ,1,Dome,Fish,3,Lizard Island,Carcharhinus melanopterus,Piscivore,1,0.60398631,0.1,0,0,0,99.34
North Palfrey ,1,Dome,Fish,3,Lizard Island,Carcharhinus melanopterus,Piscivore,0,0,0,1,0.60398631,0.05,99.34
North Palfrey ,1,Dome,Fish,3,Lizard Island,Carcharhinus melanopterus,Piscivore,1,0.60398631,0.06,0,0,0,99.34
North Palfrey ,2,Dome,Fish,1,Lizard Island,Carcharhinus melanopterus,Piscivore,0,0,0,1,2.358490566,0.06,25.44
North Palfrey ,2,Dome,Fish,1,Lizard Island,Carcharhinus melanopterus,Piscivore,1,2.358490566,0.1,0,0,0,25.44
North Palfrey ,2,Dome,Fish,2,Lizard Island,Lutjanus carponotatus,Piscivore,0,0,0,1,1.355932203,0.1,44.25
North Palfrey ,2,Dome,Fish,3,Lizard Island,Canthigaster sp,Invertivore,0,0,0,1,1.0978957,0.1,54.65
North Palfrey ,1,Dome,No_fish,1,Lizard Island,Canthigaster sp,Invertivore,0,0,0,0,0,0,
North Palfrey ,1,Dome,No_fish,2,Lizard Island,Canthigaster sp,Invertivore,0,0,0,0,0,0,
North Palfrey ,1,Dome,No_fish,3,Lizard Island,Canthigaster sp,Invertivore,0,0,0,0,0,0,
North Palfrey ,2,Dome,No_fish,1,Lizard Island,Canthigaster sp,Invertivore,0,0,0,0,0,0,
North Palfrey ,2,Dome,No_fish,2,Lizard Island,Canthigaster sp,Invertivore,0,0,0,0,0,0,
North Palfrey ,2,Dome,No_fish,3,Lizard Island,Arothron nigropunctatus,Invertivore,0,0,0,0,0,0,
Blue lagoon,1,Dome,Fish,1,Lizard Island,Caranx sexfasciatus,Piscivore,0,0,0,1,0.715478178,0.15,83.86
Blue lagoon,1,Dome,Fish,1,Lizard Island,Caranx sexfasciatus,Piscivore,0,0,0,1,0.715478178,0.15,83.86
Blue lagoon,1,Dome,Fish,1,Lizard Island,Diagramma labiosum,Invertivore,0,0,0,1,0.715478178,0.15,83.86
Blue lagoon,1,Dome,Fish,1,Lizard Island,Diagramma labiosum,Invertivore,0,0,0,1,0.715478178,1.5,83.86
Blue lagoon,1,Dome,Fish,1,Lizard Island,Diagramma labiosum,Invertivore,0,0,0,1,0.715478178,1.5,83.86
Blue lagoon,1,Dome,Fish,1,Lizard Island,Diagramma labiosum,Invertivore,0,0,0,1,0.715478178,1.5,83.86
Blue lagoon,1,Dome,Fish,1,Lizard Island,Diagramma labiosum,Invertivore,0,0,0,1,0.715478178,1.5,83.86
Blue lagoon,1,Dome,Fish,1,Lizard Island,Diagramma labiosum,Invertivore,0,0,0,1,0.715478178,1.5,83.86
Blue lagoon,1,Dome,Fish,1,Lizard Island,Diagramma labiosum,Invertivore,0,0,0,1,0.715478178,1.5,83.86
Blue lagoon,1,Dome,Fish,1,Lizard Island,Triaenodon obesus,Piscivore,0,0,0,1,0.715478178,0.06,83.86
Blue lagoon,1,Dome,Fish,1,Lizard Island,Gymnocranius microdon,Invertivore,0,0,0,1,0.715478178,0.06,83.86
Blue lagoon,1,Dome,Fish,2,Lizard Island,Caranx sexfasciatus,Piscivore,0,0,0,1,0.716246866,0.05,83.77
Blue lagoon,1,Dome,Fish,2,Lizard Island,Gymnocranius microdon,Invertivore,0,0,0,1,0.716246866,0.06,83.77
Blue lagoon,1,Dome,Fish,2,Lizard Island,Cheilinus fasciatus,Invertivore,0,0,0,1,0.716246866,0.06,83.77
Blue lagoon,1,Dome,Fish,2,Lizard Island,Diagramma labiosum,Invertivore,0,0,0,1,0.716246866,0.07,83.77
Blue lagoon,1,Dome,Fish,2,Lizard Island,Triaenodon obesus,Piscivore,20,14.32493733,4.47,1,0.716246866,0.05,83.77
Blue lagoon,1,Dome,Fish,2,Lizard Island,Caranx sexfasciatus,Piscivore,0,0,0,1,0.716246866,0.05,83.77
Blue lagoon,1,Dome,Fish,2,Lizard Island,Caranx sexfasciatus,Piscivore,0,0,0,1,0.716246866,0.05,83.77
Blue lagoon,1,Dome,Fish,2,Lizard Island,Caranx sexfasciatus,Piscivore,0,0,0,1,0.716246866,0.05,83.77
Blue lagoon,1,Dome,Fish,2,Lizard Island,Caranx sexfasciatus,Piscivore,0,0,0,1,0.716246866,0.05,83.77
Blue lagoon,1,Dome,Fish,2,Lizard Island,Caranx sexfasciatus,Piscivore,0,0,0,1,0.716246866,0.05,83.77
Blue lagoon,1,Dome,Fish,2,Lizard Island,Caranx sexfasciatus,Piscivore,0,0,0,1,0.716246866,0.05,83.77
Blue lagoon,1,Dome,Fish,2,Lizard Island,Caranx sexfasciatus,Piscivore,0,0,0,1,0.716246866,0.05,83.77
Blue lagoon,1,Dome,Fish,2,Lizard Island,Caranx sexfasciatus,Piscivore,0,0,0,1,0.716246866,0.05,83.77
Blue lagoon,1,Dome,Fish,2,Lizard Island,Caranx sexfasciatus,Piscivore,0,0,0,1,0.716246866,0.05,83.77
Blue lagoon,1,Dome,Fish,2,Lizard Island,Caranx sexfasciatus,Piscivore,0,0,0,1,0.716246866,0.05,83.77
Blue lagoon,1,Dome,Fish,2,Lizard Island,Caranx sexfasciatus,Piscivore,1,0.716246866,0.08,0,0,0,83.77
Blue lagoon,1,Dome,Fish,3,Lizard Island,Diagramma labiosum,Invertivore,0,0,0,2,1.431468448,0.1,83.83
Blue lagoon,1,Dome,Fish,3,Lizard Island,Diagramma labiosum,Invertivore,0,0,0,1,0.715734224,0.05,83.83
